headline,date,link
FoxNews.com - Breaking News,2018-07-23T00:00:00,http://www.foxnews.com/2018/07/23/former-state-dept-spox-revoking-obama-era-security-clearances-would-set-dangerous
"L'Oréal-owned company called 'racist,' accused of using Photoshop to make model's hand appear darker",2018-07-23T00:00:00,http://www.foxnews.com/lifestyle/2018/07/23/lor-al-owned-company-called-racist-accused-using-photoshop-to-make-models-hand-appear-darker.html
Senate confirms Robert Wilkie as VA secretary,2018-07-23T00:00:00,http://www.foxnews.com/politics/2018/07/23/senate-confirms-robert-wilkie-as-va-secretary.html
‘A Few Moments With’ country music star Craig Campbell,2018-07-10T00:00:00,https://radio.foxnews.com/2018/07/10/a-few-moments-with-craig-campbell/
"Tyler Oban, former Railers drummer dead at 34",2018-07-20T00:00:00,http://www.foxnews.com/entertainment/2018/07/20/tyler-oban-former-railers-drummer-dead-at-34.html
"Utah missionary falls, dies at Australia whale-watching spot",2018-07-23T00:00:00,http://www.foxnews.com/us/2018/07/23/utah-missionary-falls-dies-at-australia-whale-watching-spot.html
How To Be A Perfect Christian,2018-04-27T00:00:00,https://radio.foxnews.com/2018/04/27/how-to-be-a-perfect-christian/
When Your Child Is Sick,2018-06-25T00:00:00,https://radio.foxnews.com/2018/06/25/livin-the-bream-when-your-child-is-sick/
I’ll Tell You What…O Kavanaugh,2018-07-11T00:00:00,https://radio.foxnews.com/2018/07/11/ill-tell-you-what-o-kavanaugh/
Christian Pulisic misses out on 'Man of the Match' award because of age,2018-07-23T00:00:00,http://www.foxnews.com/sports/2018/07/23/christian-pulisic-misses-out-on-man-match-award-because-age.html
Bob Dole turns 95 - let me tell you about my friend and a great American,2018-07-22T00:00:00,http://www.foxnews.com/opinion/2018/07/22/bob-dole-turns-95-let-me-tell-about-my-friend-and-great-american.html
Olympian Ryan Lochte receives 14-month ban for violating anti-doping rule,2018-07-23T00:00:00,http://www.foxnews.com/sports/2018/07/23/olympian-ryan-lochte-receives-14-month-ban-for-violating-anti-doping-rule.html
"The Latest: Family, friends recall slain doctor as generous",2018-07-23T00:00:00,http://www.foxnews.com/us/2018/07/23/latest-family-friends-recall-slain-doctor-as-generous.html
Army veteran wounded in IED blast surprised with mortgage-free home in Texas,2018-07-17T00:00:00,http://www.foxnews.com/us/2018/07/17/army-veteran-wounded-in-ied-blast-surprised-with-mortgage-free-home-in-texas.html
American tourist plunges to death after falling from Sydney cliff while taking a selfie,2018-07-23T00:00:00,http://www.foxnews.com/world/2018/07/23/american-tourist-plunges-to-death-after-falling-from-sydney-cliff-while-taking-selfie.html
People want to drink the red sewage found in sarcophagus,2018-07-23T00:00:00,http://www.foxnews.com/science/2018/07/23/people-want-to-drink-red-sewage-found-in-sarcophagus.html
Burberry reportedly burned $37 million worth of luxury goods,2018-07-20T00:00:00,http://www.foxnews.com/lifestyle/2018/07/20/burberry-reportedly-burned-37-million-worth-luxury-goods.html
Larry Kudlow: President Trump Wants To End Tariffs,2018-07-20T00:00:00,https://radio.foxnews.com/2018/07/20/larry-kudlow-president-trump-wants-to-end-tariffs/
Judge Pirro on Being Shouted Down on 'The View': A 'Microcosm' of the Hatred for President Trump,2018-07-22T00:00:00,http://insider.foxnews.com/2018/07/22/judge-jeanine-pirro-view-it-microcosm-hatred-president-trump
Former State Dept. Spox: Revoking Security Clearances of Obama-Era Officials Would Set 'Dangerous Precedent',2018-07-23T00:00:00,http://insider.foxnews.com/2018/07/23/former-state-dept-spox-revoking-obama-era-security-clearances-would-set-dangerous
Mom of Waffle House shooting survivor gets wedding dress for waitress who saved son's life,2018-07-14T00:00:00,http://www.foxnews.com/us/2018/07/14/mom-waffle-house-shooting-survivor-gets-wedding-dress-for-waitress-who-saved-sons-life.html
North Carolina toddler’s belly flop goes viral,2018-07-21T00:00:00,http://www.foxnews.com/lifestyle/2018/07/21/north-carolina-toddler-s-belly-flop-goes-viral.html
"Tomi Lahren: 'Dems Want Open Borders', They Should 'Just Come Out and Admit It'",2018-07-02T00:00:00,http://insider.foxnews.com/2018/07/02/tomi-lahren-final-thoughts-alexandria-ocasio-cortez-socialism-and-open-borders
"Dennis Quaid opens up about cocaine addiction, marriage to Meg Ryan",2018-07-23T00:00:00,http://www.foxnews.com/entertainment/2018/07/23/dennis-quaid-opens-up-about-cocaine-addiction-marriage-to-meg-ryan.html
Ritz cracker products recalled amid fears of salmonella,2018-07-22T00:00:00,http://www.foxnews.com/health/2018/07/22/ritz-cracker-products-recalled-amid-fears-salmonella.html
PRESIDENT TRUMP TWEETS AGAIN IN ALL CAPS! 07/23/2018,2018-07-23T00:00:00,https://radio.foxnews.com/2018/07/23/the-whip-around-07-23-2018/
Did A Judge’s Decision to Give One Man a Second Chance Lead to Another Man’s Death?,2018-07-23T00:00:00,https://radio.foxnews.com/2018/07/23/did-a-judges-decision-to-give-one-man-a-second-chance-lead-to-another-mans-death/
I’ll Tell You What…You’re Doing Better Than You Think,2018-07-03T00:00:00,https://radio.foxnews.com/2018/07/03/ill-tell-you-what-youre-doing-better-than-you-think/
"Stormy Daniels and husband Glendon Crain file for divorce, lawyer Michael Avenatti says",2018-07-23T00:00:00,http://www.foxnews.com/us/2018/07/23/stormy-daniels-and-husband-glendon-crain-file-for-divorce-lawyer-michael-avenatti-says.html
Blame Democrats -- not Trump -- for sabotaging ObamaCare,2018-07-23T00:00:00,http://www.foxnews.com/opinion/2018/07/23/blame-democrats-not-trump-for-sabotaging-obamacare.html
5 Things You Didn't Know About Ainsley Earhardt,2018-05-03T00:00:00,http://insider.foxnews.com/2018/05/03/ainsley-earhardt-5-things-you-didnt-know-facts-photos-family
How to turn immigrants into full-blooded Americans,2018-07-23T00:00:00,http://www.foxnews.com/opinion/2018/07/23/how-to-turn-immigrants-into-full-blooded-americans.html
The best new fishing lures for 2019,2018-07-23T00:00:00,http://www.foxnews.com/great-outdoors/2018/07/23/best-new-fishing-lures-for-2019.html
"Anti-Trump ESPN star Jemele Hill plans to eventually ditch sports network for race, gender content",2018-07-23T00:00:00,http://www.foxnews.com/entertainment/2018/07/23/anti-trump-espn-star-jemele-hill-plans-to-eventually-ditch-sports-network-for-race-gender-content.html
New York Mets pitcher Noah Syndergaard heads to DL after contracting hand-foot-and-mouth disease,2018-07-23T00:00:00,http://www.foxnews.com/sports/2018/07/23/new-york-mets-pitcher-noah-syndergaard-heads-to-dl-after-contracting-hand-foot-and-mouth-disease.html
Is Trump illegitimate? Here’s the real truth about Russia and the 2016 election,2018-07-23T00:00:00,http://www.foxnews.com/opinion/2018/07/23/is-trump-illegitimate-here-s-real-truth-about-russia-and-2016-election.html
"After fateful shooting, could Scalise be the most powerful person in Congress?",2018-07-22T00:00:00,http://www.foxnews.com/opinion/2018/07/22/after-fateful-shooting-could-scalise-be-most-powerful-person-in-congress.html
North Korea is said to be poised to return bodies of some 50 US vets soon: report,2018-07-17T00:00:00,http://www.foxnews.com/world/2018/07/17/north-korea-is-said-to-be-poised-to-return-bodies-some-50-us-vets-soon-report.html
Chris Pratt shares cryptic message amid James Gunn fallout as Zoe Saldana speaks out,2018-07-23T00:00:00,http://www.foxnews.com/entertainment/2018/07/23/chris-pratt-shares-cryptic-message-amid-james-gunn-fallout-as-zoe-saldana-speaks-out.html
Hall of Fame jockey Victor Espinoza suffers fractured vertebra after horse dies during workout,2018-07-23T00:00:00,http://www.foxnews.com/sports/2018/07/23/hall-fame-jockey-victor-espinoza-suffers-fractured-vertebra-after-horse-dies-during-workout.html
'Star Wars' actor Mark Hamill admits he didn't actually dress as Trump at Comic-Con,2018-07-23T00:00:00,http://www.foxnews.com/entertainment/2018/07/23/star-wars-actor-mark-hamill-admits-didnt-actually-dress-as-trump-at-comic-con.html
"Moms slam Target, Walmart for ‘hooker style’ shorts for tweens",2018-07-19T00:00:00,http://www.foxnews.com/lifestyle/2018/07/19/moms-slam-target-walmart-for-hooker-style-shorts-for-tweens.html
The Whip Around,2018-07-19T00:00:00,https://radio.foxnews.com/2018/07/19/the-whip-around-07-19-2018/
Dr. Marc Siegel Gives His Advice During “Ask The Doctor”,2018-07-19T00:00:00,https://radio.foxnews.com/2018/07/19/dr-marc-siegel-gives-his-advice-during-ask-the-doctor/
Harf Blasts Trump's Twitter Warning to Iran: 'What Are You Gonna Do? Attack Iran?',2018-07-23T00:00:00,http://insider.foxnews.com/2018/07/23/marie-harf-donald-trump-tweet-iranian-president-hassan-rouhani
"Smartphones are killing teenagers' memories, study says",2018-07-23T00:00:00,http://www.foxnews.com/tech/2018/07/23/smartphones-are-killing-teenagers-memories-study-says.html
Spicer: Media Has Tried to 'Delegitimize' Trump From Day 1 of Administration,2018-07-20T00:00:00,http://insider.foxnews.com/2018/07/20/spicer-media-tried-delegitimize-trump-day-1-administration
The Latest: Chief: Suspect in stabbing is felon on parole,2018-07-23T00:00:00,http://www.foxnews.com/us/2018/07/23/latest-police-id-suspect-in-teen-fatal-stabbing.html
5 Things You Didn't Know About Tomi Lahren,2017-12-27T00:00:00,http://insider.foxnews.com/2017/12/27/5-things-you-didnt-know-about-tomi-lahren
"Manafort case judge reveals immunity deals with 5 witnesses, delays start of trial",2018-07-23T00:00:00,http://www.foxnews.com/politics/2018/07/23/manafort-case-judge-reveals-immunity-deals-with-5-witnesses-delays-start-trial.html
"Charles Esten on 'Nashville' series finale: 'It will satisfy some, not others'",2018-07-19T00:00:00,http://www.foxnews.com/entertainment/2018/07/19/charles-esten-on-nashville-series-finale-it-will-satisfy-some-not-others.html
Gillibrand: Abolishing ICE Should Be a Top Priority 'When' Dems Flip House and Senate,2018-07-23T00:00:00,http://insider.foxnews.com/2018/07/23/kirsten-gillibrand-doubles-down-abolish-ice-calls-these-are-civil-issues-these-are
Florida beachgoer who took queen conch shells sentenced to 15 days in jail: report,2018-07-19T00:00:00,http://www.foxnews.com/us/2018/07/19/florida-beachgoer-who-took-queen-conch-shells-sentenced-to-15-days-in-jail-report.html
Ivanka Trump: Paid family leave is an investment in America's families -- It deserves bipartisan support,2018-07-11T00:00:00,http://www.foxnews.com/opinion/2018/07/11/ivanka-trump-paid-family-leave-is-investment-in-americas-families-it-deserves-bipartisan-support.html
'All About Getting at Trump Campaign': Fitton Argues FBI Misled FISA Court on Carter Page Warrant,2018-07-23T00:00:00,http://insider.foxnews.com/2018/07/23/tom-fitton-carter-page-fisa-warrant-documents-fbi-doj-misled-court-target-trump
"Justin, there are 12 things you need to do if you want your marriage to work",2018-07-14T00:00:00,http://www.foxnews.com/opinion/2018/07/14/justin-there-are-12-things-need-to-do-if-want-your-marriage-to-work.html
5 Things You Didn't Know About Jillian Mele,2018-05-21T00:00:00,http://insider.foxnews.com/2018/05/21/jillian-mele-5-things-you-didnt-know-facts-photos-family
The Rise of 'Theybies': Tucker Takes on New Gender-Neutral Designation for Kids,2018-07-22T00:00:00,http://insider.foxnews.com/2018/07/22/rise-theybies-tucker-areu-debate-new-gender-neutral-designation-children
"Charles Krauthammer, conservative commentator and Pulitzer Prize winner, dead at 68",2018-06-21T00:00:00,https://radio.foxnews.com/2018/06/21/charles-krauthammer-conservative-commentator-and-pulitzer-prize-winner-dead-at-68/
Virginia Sen. Mark Warner's office vandalized; suspect arrested,2018-07-23T00:00:00,http://www.foxnews.com/politics/2018/07/23/virginia-sen-mark-warners-office-vandalized-suspect-arrested.html
FoxNews.com - Breaking News,2018-07-23T00:00:00,http://www.foxnews.com/2018/07/23/bret-baier-interviews-nicaraguan-president-daniel-ortega-special-report
Jana Kramer announces sex of baby No. 2,2018-07-23T00:00:00,http://www.foxnews.com/entertainment/2018/07/23/jana-kramer-announces-sex-baby-no-2.html
Chinese ‘Belt and Road’ Loans Cause Debt Crisis in Pakistan,2018-07-23T00:00:00,https://www.breitbart.com/national-security/2018/07/23/chinese-belt-road-loans-cause-debt-crisis-pakistan/
Graphic -- Cartel Gunmen Ambush Mexican Police Forces near Texas Border,2018-07-20T00:00:00,https://www.breitbart.com/texas/2018/07/20/graphic-cartel-gunmen-ambush-mexican-police-forces-near-texas-border/
Fired 'Guardians of the Galaxy' Director James Gunn Has Bigger Problems than 'Old Tweets',2018-07-21T00:00:00,https://www.breitbart.com/big-hollywood/2018/07/21/nolte-fired-guardians-of-the-galaxy-director-james-gunn-has-bigger-problems-than-old-tweets/
Under Armour CEO Resigns from President Trump’s American Manufacturing Council as Other CEOs Bail Post-Charlottesville,2017-08-14T00:00:00,http://www.breitbart.com/sports/2017/08/14/armour-ceo-resigns-president-trumps-american-manufacturing-council-ceos-bail-post-charlottesville/#disqus_thread
Four Arrested After Acid Attack on Three-Year-Old Boy in England,2018-07-23T00:00:00,https://www.breitbart.com/london/2018/07/23/four-arrested-after-acid-attack-three-year-old-boy-england/#disqus_thread
Clapper: Trump 'Political' Attempt to Revoke Security Clearances 'Very Petty Thing to Do',2018-07-23T00:00:00,http://www.breitbart.com/video/2018/07/23/clapper-trump-political-attempt-to-revoke-security-clearances-very-petty-thing-to-do/#disqus_thread
JCN Launches Kavanaugh Ads on 4 Trump-State Democrat Senators,2018-07-23T00:00:00,https://www.breitbart.com/big-government/2018/07/23/jcn-kavanaugh-ads-4-trump-state-d-sens/
Italy and Libya Reject European Union's Latest Migrant Crisis Plan,2018-07-22T00:00:00,https://www.breitbart.com/london/2018/07/22/italy-and-libya-reject-eus-latest-migrant-crisis-strategy/#disqus_thread
"Iran's 'Sword Hanging' over Head of 50,000 U.S. Troops",2018-07-23T00:00:00,https://www.breitbart.com/national-security/2018/07/23/former-irgc-commander-irans-sword-hanging-head-50000-u-s-troops/#disqus_thread
"Convicted Killer, MS-13 Member Arrested in South Texas",2018-07-23T00:00:00,https://www.breitbart.com/texas/2018/07/23/convicted-killer-ms-13-member-arrested-in-south-texas/#disqus_thread
Twitter CEO Jack Dorsey Wants AI to Determine 'Credible Voices' on Platform,2018-07-23T00:00:00,http://www.breitbart.com/tech/2018/07/23/twitter-ceo-jack-dorsey-wants-ai-to-determine-credible-voices-on-platform/#disqus_thread
Cartel Violence Forces U.S. Gov't to Prohibit Employee Travel to Downtown Juárez,2018-07-18T00:00:00,https://www.breitbart.com/texas/2018/07/18/cartel-violence-forces-u-s-govt-to-prohibit-employee-travel-to-downtown-juarez/
Joe Scarborough Scolds Rand Paul for 'Sad and Pathetic' Tweet About John Brennan,2018-07-23T00:00:00,https://www.breitbart.com/video/2018/07/23/joe-scarborough-scolds-rand-paul-sad-and-pathetic-tweet-about-john-brennan/#disqus_thread
NBC News wants Donald Trump Banned from Twitter after Threatening Iran,2018-07-23T00:00:00,http://www.breitbart.com/big-journalism/2018/07/23/nbc-news-reporters-want-donald-trump-banned-from-twitter-after-threatening-iran/
Former Acting ICE Director Slams Michelle Wolf's 'Repulsive' ICE-ISIS Video,2018-07-22T00:00:00,https://www.breitbart.com/big-hollywood/2018/07/22/former-acting-ice-director-slams-michelle-wolfs-repulsive-ice-isis-video/#disqus_thread
"'Turkish' Gang Invades Home, Threatens Family with 'Machine Gun'",2018-07-23T00:00:00,http://www.breitbart.com/london/2018/07/23/khans-london-possibly-turkish-gang-invades-home-threatens-family-machete-machine-gun/#disqus_thread
Graphic -- Cartel Gunmen Ambush Mexican Police Forces near Texas Border,2018-07-20T00:00:00,https://www.breitbart.com/texas/2018/07/20/graphic-cartel-gunmen-ambush-mexican-police-forces-near-texas-border/#disqus_thread
"‘If Iran Does Anything to the Negative, They Will Pay a Price’",2018-07-23T00:00:00,https://www.breitbart.com/national-security/2018/07/23/bolton-iran-does-anything-negative-pay-price/
Nikki Haley Accuses UN Human Rights Council of Anti-Israel Agenda,2018-07-20T00:00:00,https://www.breitbart.com/jerusalem/2018/07/20/nikki-haley-slams-un-human-rights-council-for-being-against-israels-existence/
'Family Guy' to Mock Trump and 'Fake News' in Upcoming Season,2018-07-22T00:00:00,http://www.breitbart.com/big-hollywood/2018/07/22/family-guy-to-mock-trump-and-fake-news-in-upcoming-season/
"R. Kelly Releases 19-Minute Song Addressing Assault, Sex Slave Allegations",2018-07-23T00:00:00,http://www.breitbart.com/big-hollywood/2018/07/23/r-kelly-releases-19-minute-song-addressing-assault-sex-slave-allegations/#disqus_thread
'Left Wing' UK Council to Add 'Enslaver of Africans' Plaque to Historical Statue,2018-07-23T00:00:00,https://www.breitbart.com/london/2018/07/23/left-wing-uk-council-add-enslaver-africans-plaque-historical-statue/#disqus_thread
Texas Woman Arrested for Allegedly Mailing Meth to Imprisoned Capital Murderer,2018-07-22T00:00:00,https://www.breitbart.com/texas/2018/07/22/texas-woman-arrested-for-allegedly-mailing-meth-to-imprisoned-capital-murderer/#disqus_thread
Josh Gordon to Miss Start of Browns Training Camp for 'Treatment Plan',2018-07-23T00:00:00,https://www.breitbart.com/sports/2018/07/23/josh-gordon-to-miss-start-of-browns-training-camp-for-treatment-plan/
"One Migrant Dead, 3 Rescued After Human Smugglers Abandon Them in South Texas",2018-07-17T00:00:00,https://www.breitbart.com/texas/2018/07/17/one-migrant-dead-3-rescued-after-human-smugglers-abandon-them-in-south-texas/#disqus_thread
WSJ: Tesla Asks Suppliers for Cash to Stay Afloat,2018-07-23T00:00:00,http://www.breitbart.com/tech/2018/07/23/wsj-tesla-asks-suppliers-for-cash-to-stay-afloat/#disqus_thread
LeBron James Slams Donald Trump for Making Hate 'Fashionable' Again,2017-08-15T00:00:00,http://www.breitbart.com/sports/2017/08/15/lebron-james-slams-president-trump-making-hate-fashionable/
CW's 'Supergirl' Casts Transgender Rights Activist as First Trans TV Superhero,2018-07-21T00:00:00,http://www.breitbart.com/big-hollywood/2018/07/21/cws-supergirl-casts-transgender-rights-activist-as-first-trans-tv-superhero/
Texas Lawn Company Gets 'Death Threats' for Slogan Promoting Legal Workers,2018-07-23T00:00:00,https://www.breitbart.com/texas/2018/07/23/watch-texas-lawn-company-gets-death-threats-for-slogan-promoting-legal-workers/
Lochte Banned 14 Months for Anti-Doping Violation,2018-07-23T00:00:00,https://www.breitbart.com/sports/2018/07/23/lochte-banned-14-months-for-anti-doping-violation/#disqus_thread
Tom Steyer Renews Call for Impeachment After Trump-Putin Summit,2018-07-22T00:00:00,https://www.breitbart.com/california/2018/07/22/tom-steyer-renews-call-for-impeachment-after-trump-putin-summit/#disqus_thread
Kevin McCarthy on Border Wall Funding,2018-07-23T00:00:00,https://www.breitbart.com/big-government/2018/07/23/exclusive-kevin-mccarthy-on-border-wall-funding-we-must-finish-the-job/
Special Needs Baby Missing in Mexico Found,2018-07-20T00:00:00,https://www.breitbart.com/texas/2018/07/20/fbi-special-needs-baby-missing-in-mexico-found/#disqus_thread
Donald Trump: FISA Warrant to Spy on Campaign 'a Disgrace to America',2018-07-23T00:00:00,https://www.breitbart.com/big-government/2018/07/23/donald-trump-fisa-warrant-to-spy-on-campaign-a-disgrace-to-america/
Johnny Depp Leads 'Fantastic Beasts' Actors in Call to 'Impeach Trump' at Comic-Con,2018-07-22T00:00:00,https://www.breitbart.com/big-hollywood/2018/07/22/johnny-depp-leads-fantastic-beasts-actors-in-call-to-impeach-trump-at-comic-con/#disqus_thread
Twitter 'Quality Filter' Excludes Top Conservatives from Searches,2018-07-23T00:00:00,http://www.breitbart.com/tech/2018/07/23/twitter-quality-filter-excludes-top-conservatives-from-searches/#disqus_thread
WH Spox Sanders: Russia Probe Is ‘a Hoax and Waste of Time’,2018-07-23T00:00:00,http://www.breitbart.com/video/2018/07/23/wh-spox-sanders-russia-probe-is-a-hoax-and-waste-of-time/
Maxine Waters: Flag-Burning Protesters Furthered 'Their Own Agenda',2018-07-22T00:00:00,http://www.breitbart.com/california/2018/07/22/maxine-waters-flag-burning-protesters-own-agenda/#disqus_thread
"Josh Hader Receives Ovation in First Appearance Since Publishing of Old, Racist Tweets",2018-07-22T00:00:00,https://www.breitbart.com/sports/2018/07/22/josh-hader-receives-ovation-first-appearance-since-publishing-old-racist-tweets/#disqus_thread
Watch Live: Christians United for Israel Washington Summit,2018-07-23T00:00:00,https://www.breitbart.com/big-government/2018/07/23/watch-live-christians-united-for-israel-washington-summit/
Gowdy Criticizes Trump’s Putin DC Invitation --- 'Reserved' for Allies,2018-07-22T00:00:00,http://www.breitbart.com/video/2018/07/22/gowdy-criticizes-trumps-putin-dc-invitation-reserved-for-allies/
"American Association of University Professors Endorses Censorship on Campus, Attacks First Amendment",2018-07-23T00:00:00,https://www.breitbart.com/tech/2018/07/23/association-of-professors-endorses-censorship-on-campus-attacks-first-amendment/#disqus_thread
What Disney's Dave Bautista Doesn't Want You to Know About James Gunn,2018-07-23T00:00:00,http://www.breitbart.com/big-hollywood/2018/07/23/nolte-what-disneys-dave-bautista-doesnt-want-you-to-know-about-james-gunn/
Disney Gave In to 'Cyber Nazis' with James Gunn Firing,2018-07-23T00:00:00,https://www.breitbart.com/big-hollywood/2018/07/23/marvel-star-dave-bautista-disney-gave-in-to-cyber-nazis-with-james-gunn-firing/#disqus_thread
Glenn Beck Defends James Gunn After Disney Firing over Child Rape Tweets,2018-07-21T00:00:00,https://www.breitbart.com/big-hollywood/2018/07/21/glenn-beck-defends-james-gunn-after-disney-firing-over-child-rape-tweets-we-all-make-mistakes/#disqus_thread
"Six Kidnappers Including Tijuana Cop Arrested, Victim Rescued",2018-07-22T00:00:00,http://www.breitbart.com/texas/2018/07/22/six-kidnappers-including-tijuana-cop-arrested-victim-rescued/
Wall Street Journal Reporter Deletes Twitter Account Following Tesla Model 3 Review Backlash,2018-07-23T00:00:00,https://www.breitbart.com/tech/2018/07/23/wall-street-journal-reporter-deletes-twitter-account-following-tesla-model-3-review-backlash/#disqus_thread
Paul Ryan Confronts Donald Trump: ‘Russia Is Not Our Ally’,2018-07-16T00:00:00,http://www.breitbart.com/big-government/2018/07/16/paul-ryan-trump-russia-not-ally/
Tim Tebow Lands on Binghamton DL List After Hand Injury,2018-07-22T00:00:00,https://www.breitbart.com/sports/2018/07/22/tim-tebow-lands-on-dl-after-hand-injury/#disqus_thread
Ohio State: 100 Ex-students Report Sex Misconduct by Doctor,2018-07-20T00:00:00,https://www.breitbart.com/sports/2018/07/20/ohio-state-100-ex-students-report-sex-misconduct-by-doctor/#disqus_thread
Four Arrested After Acid Attack on Three-Year-Old Boy in England,2018-07-23T00:00:00,https://www.breitbart.com/london/2018/07/23/four-arrested-after-acid-attack-three-year-old-boy-england/
Girl Guides Revamp Sees Home Skills Ditched for ‘Human Rights',2018-07-23T00:00:00,http://www.breitbart.com/london/2018/07/23/girl-guides-home-skills-ditched-protest/#disqus_thread
'We Need to Be Ready for Attacks in Space',2018-07-20T00:00:00,https://www.breitbart.com/tech/2018/07/20/exclusive-house-science-committee-chair-we-need-to-be-ready-for-attacks-in-space/#disqus_thread
Report: Facebook CEO Mark Zuckerberg Congratulated Trump Following Victory,2018-07-20T00:00:00,https://www.breitbart.com/tech/2018/07/20/report-facebook-ceo-mark-zuckerberg-congratulated-trump-following-victory/#disqus_thread
"China Real Cyber Threat, Not Russia",2018-07-22T00:00:00,https://www.breitbart.com/radio/2018/07/22/tech-ceo-cyberattacks-china-real-threat/
Abolish ICE Activists Execute 'Donald Trump' with Guillotine,2018-07-20T00:00:00,https://www.breitbart.com/california/2018/07/20/abolish-ice-anarchists-execute-donald-trump-with-guillotine/#disqus_thread
Nancy Pelosi Slams Trump for Inviting Vladimir Putin to Washington,2018-07-20T00:00:00,https://www.breitbart.com/big-government/2018/07/20/nancy-pelosi-trump-vladimir-putin-meeting-washington/
Watch Live: Turning Point USA High School Leadership Summit,2018-07-23T00:00:00,http://www.breitbart.com/big-government/2018/07/23/watch-live-turning-point-usa-high-school-leadership-summit/#disqus_thread
Palestinian Authority Brags It Thwarted Trump's Mideast Peace Plan,2018-07-22T00:00:00,http://www.breitbart.com/jerusalem/2018/07/22/brags-it-has-thwarted-trumps-peace-plan/#disqus_thread
WATCH: Gunman 'Calmly' Opens Fire on Innocents in Toronto,2018-07-23T00:00:00,http://www.breitbart.com/big-government/2018/07/23/watch-gunman-calmly-opens-fire-on-innocents-in-toronto/
Tiger Roars and NBC's Ratings Soar After Thrilling Open Championship,2018-07-23T00:00:00,https://www.breitbart.com/sports/2018/07/23/tiger-roars-and-nbcs-ratings-soar-after-thrilling-open-championship/
Titans CEO: Team Will Discuss Anthem Statements with Jurrell Casey,2018-07-20T00:00:00,https://www.breitbart.com/sports/2018/07/20/titans-ceo-team-will-discuss-anthem-statements-jurrell-casey/#disqus_thread
Texas Lawn Company Gets 'Death Threats' for Slogan Promoting Legal Workers,2018-07-23T00:00:00,https://www.breitbart.com/texas/2018/07/23/watch-texas-lawn-company-gets-death-threats-for-slogan-promoting-legal-workers/#disqus_thread
Jill Wine-Banks: Trump's Performance 'Will Live in Infamy as Much as the Pearl Harbor Attack or Kristallnacht',2018-07-16T00:00:00,http://www.breitbart.com/video/2018/07/16/jill-wine-banks-trumps-performance-will-live-in-infamy-as-much-as-the-pearl-harbor-attack-or-kristallnacht/
Disney Fires 'Guardians' Director James Gunn Over Disturbing Pedophilia Tweets,2018-07-20T00:00:00,https://www.breitbart.com/big-hollywood/2018/07/20/disney-fires-guardians-director-james-gunn-over-disturbing-pedophilia-tweets/
Wall Street Journal Reporter Deletes Twitter Account Following Tesla Model 3 Review Backlash,2018-07-23T00:00:00,http://www.breitbart.com/tech/2018/07/23/wall-street-journal-reporter-deletes-twitter-account-following-tesla-model-3-review-backlash/#disqus_thread
WATCH: Chicago Mayoral Candidate Gives Potential Constituents Cash for Votes,2018-07-23T00:00:00,http://www.breitbart.com/video/2018/07/23/watch-chicago-mayoral-candidate-gives-cash-votes/
Macedonian Police find 44 Illegal Migrants In Truck,2018-07-21T00:00:00,https://www.breitbart.com/london/2018/07/21/macedonian-police-find-44-illegal-migrants-in-truck/
